"XML Type","collection","series","subseries","box","folder","item","title","date","size","restricted?","handle","Accession Number","Handwritten or typed?","handwritten or typed controlled","Onionskin?","Column","filename","label","rank","creator","continent","country","region","settlement","umdm pid","umam pid","TEI"
"UMDM","Katherine Anne Porter papers","1","6","57","2","1","Katherine Anne Porter to Gertrude Beitel, 1950-12-01","1950-12-01","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front only","","litmss-019350-0001","KAPtoGB-1950-12-01-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","1","Katherine Anne Porter to Gertrude Beitel, 1950-12-01","1950-12-01","1","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front only","","litmss-019350-0001","KAPtoGB-1950-12-01-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","5","Katherine Anne Porter to Gertrude Beitel, 1951-09-26","1951-09-26","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019351-0001","KAPtoGB-1951-09-26-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","5","Katherine Anne Porter to Gertrude Beitel, 1951-09-26","1951-09-26","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019351-0001","KAPtoGB-1951-09-26-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","5","Katherine Anne Porter to Gertrude Beitel, 1951-09-26","1951-09-26","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019351-0002","KAPtoGB-1951-09-26-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","7","Katherine Anne Porter to Gertrude Beitel, 1952-08-14","1952-08-14","5","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019353-0001","KAPtoGB-1952-08-14-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","France","Île-de-France","Paris","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","7","Katherine Anne Porter to Gertrude Beitel, 1952-08-14","1952-08-14","5","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019353-0001","KAPtoGB-1952-08-14-p0001","1","Porter, Katherine Anne, 1890-1980","Europe","France","Île-de-France","Paris","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","7","Katherine Anne Porter to Gertrude Beitel, 1952-08-14","1952-08-14","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019353-0002","KAPtoGB-1952-08-14-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","7","Katherine Anne Porter to Gertrude Beitel, 1952-08-14","1952-08-14","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019353-0003","KAPtoGB-1952-08-14-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","7","Katherine Anne Porter to Gertrude Beitel, 1952-08-14","1952-08-14","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019353-0004","KAPtoGB-1952-08-14-p0004","4","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","7","Katherine Anne Porter to Gertrude Beitel, 1952-08-14","1952-08-14","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019353-0005","KAPtoGB-1952-08-14-p0005","5","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","12","Katherine Anne Porter to Gertrude Beitel, 1953-04-14","1953-04-14","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front - back","","litmss-019357-0001","KAPtoGB-1953-04-14-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","12","Katherine Anne Porter to Gertrude Beitel, 1953-04-14","1953-04-14","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front - back","","litmss-019357-0001","KAPtoGB-1953-04-14-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","12","Katherine Anne Porter to Gertrude Beitel, 1953-04-14","1953-04-14","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019357-0002","KAPtoGB-1953-04-14-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","12","Katherine Anne Porter to Gertrude Beitel, 1953-04-14","1953-04-14","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019357-0003","KAPtoGB-1953-04-14-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","14","Katherine Anne Porter to Gertrude Beitel, 1955-07-22","1955-07-22","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019358-0001","KAPtoGB-1954-07-22-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","14","Katherine Anne Porter to Gertrude Beitel, 1955-07-22","1955-07-22","3","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019358-0001","KAPtoGB-1954-07-22-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","New York","New York","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","14","Katherine Anne Porter to Gertrude Beitel, 1955-07-22","1955-07-22","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019358-0002","KAPtoGB-1954-07-22-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","14","Katherine Anne Porter to Gertrude Beitel, 1955-07-22","1955-07-22","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019358-0003","KAPtoGB-1954-07-22-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","17","Katherine Anne Porter to Gertrude Beitel, 1955-09-20","1955-09-20","5","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front - back","","litmss-019359-0001","KAPtoGB-1955-09-20-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","17","Katherine Anne Porter to Gertrude Beitel, 1955-09-20","1955-09-20","5","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","y, front - back","","litmss-019359-0001","KAPtoGB-1955-09-20-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","17","Katherine Anne Porter to Gertrude Beitel, 1955-09-20","1955-09-20","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019359-0002","KAPtoGB-1955-09-20-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","17","Katherine Anne Porter to Gertrude Beitel, 1955-09-20","1955-09-20","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019359-0003","KAPtoGB-1955-09-20-p0003","3","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","17","Katherine Anne Porter to Gertrude Beitel, 1955-09-20","1955-09-20","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019359-0004","KAPtoGB-1955-09-20-p0004","4","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","17","Katherine Anne Porter to Gertrude Beitel, 1955-09-20","1955-09-20","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019359-0005","KAPtoGB-1955-09-20-p0005","5","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","20","Katherine Anne Porter to Gertrude Beitel, 1956-01-28","1956-01-28","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019360-0001","KAPtoGB-1956-01-28-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","20","Katherine Anne Porter to Gertrude Beitel, 1956-01-28","1956-01-28","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019360-0001","KAPtoGB-1956-01-28-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","20","Katherine Anne Porter to Gertrude Beitel, 1956-01-28","1956-01-28","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019360-0002","KAPtoGB-1956-01-28-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","27","Katherine Anne Porter to Gertrude Beitel, 1956-10-07","1956-10-07","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019361-0001","KAPtoGB-1956-10-07-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","27","Katherine Anne Porter to Gertrude Beitel, 1956-10-07","1956-10-07","2","","http://hdl.handle.net/1903.1/1532","66-5","typed","typed","","","litmss-019361-0001","KAPtoGB-1956-10-07-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States of America","Connecticut","Southbury","","",""
"UMAM","Katherine Anne Porter papers","1","6","57","2","27","Katherine Anne Porter to Gertrude Beitel, 1956-10-07","1956-10-07","","","http://hdl.handle.net/1903.1/1532","66-5","","","","","litmss-019361-0002","KAPtoGB-1956-10-07-p0002","2","Porter, Katherine Anne, 1890-1980","","","","","","",""
"UMDM","Katherine Anne Porter papers","1","6","57","2","29","Gertrude Beitel to Katherine Anne Porter, 1957-01-08","1957-01-08","2","","http://hdl.handle.net/1903.1/1532","66-5","typed -hw","typed, handwritten notes","","Digitize both sides: Inscription from KAP on reverse","litmss-019491-0001","GBtoKAP-1957-01-08-p0001","1","Porter, Katherine Anne, 1890-1980","North America","United States","Texas","San Antonio","","",""
